PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
223776_HM,1393.0,7611.1072
177781_TQ,6589.0,25120.6516
218751_BL,1907.0,58877.1632
223794_SV,1131.0,6810.4038
209501_EC,3594.0,105483.6974
223642_EC,1397.0,46865.752
215610_GD,4855.0,56893.6959
213669_BG,3373.0,74351.6485
219523_BM,2422.0,51760.9634
214136_BM,4720.0,38808.833
218625_OR,1471.0,9351.877
225261_PE,1756.0,9165.0723
1875013HM,5039.0,20357.0552
217640_SV,4313.0,16432.7929
212713_HM,5780.0,30057.412
214621_SV,2362.0,21179.2524
214370_PU,144.0,2499.2117
210917_EC,367.0,9927.0842
209310_SV,2743.0,15883.6521
223194_KK,3006.0,80007.6066
220444_BG,2792.0,38275.5128
209665_BM,2501.0,19093.5164
223383_BM,114.0,2708.6709
221884_TG,1284.0,7190.5931
210959_GD,37.0,529.7484
209302_SV,3244.0,28630.8153
210967_GD,28.0,366.6859
212019_HM,2699.0,12382.4541
216912_TL,5334.0,26267.8956
222527_BM,2235.0,66827.7745
221535_AQ,2916.0,25024.1918
223031_BK,2715.0,39999.7302
214670_LL,8460.0,172918.0691
170732_DM,7440.0,40345.5986
193166_BR,4670.0,25035.5629
225226_BK,133.0,3652.3828
213188_GN,6681.0,152493.4105
211041_HM,1978.0,12117.112
221049_WT,3884.0,40702.0882
224778_HM,2300.0,16672.8309
213014_BK,9057.0,168525.2183
209454_EC,9103.0,154034.1436
219342_BU,110.0,886.826
220939_DM,5651.0,154975.5085
223729_SV,1414.0,7912.4929
218846_PK,2190.0,16422.761
213105_BK,5206.0,21434.1335
217001_PK,2711.0,14034.2213
224094_CA,737.0,18096.3441
215522_GN,4971.0,123861.6525
220879_BG,44.0,754.3382
222304_PK,498.0,15340.1473
223465_BM,3782.0,109869.827
211554_BM,6846.0,65325.1564
